penyataan id,penyataan,sumber id,sumber,label
1,Ali Rustam keluar UMNO hari ini,1,Ali Rustam menafikan desas desus dan tidak berhasrat untuk keluar UMNO,tidak setuju
1,Ali Rustam keluar UMNO hari ini,2,Tan Sri Mohd Ali Mohd Rustam merupakan seorang ahli UMNO,berkaitan
1,Ali Rustam keluar UMNO hari ini,3,"Sehingga hari ini Ali Rustam masih tetap dengan Umno, sekali gus menafikan dirinya, Tan Sri Mohd Ali Mohd Rustam keluar parti itu.",tidak setuju
2,Ali Rustam nafi keluar UMNO,4,Ali Rustam menafikan desas desus dan tidak berhasrat untuk keluar UMNO,setuju
2,Ali Rustam nafi keluar UMNO,5,Tan Sri Mohd Ali Mohd Rustam merupakan seorang ahli UMNO,berkaitan
2,Ali Rustam nafi keluar UMNO,6,"Sehingga hari ini Ali Rustam masih tetap dengan Umno, sekali gus menafikan dirinya, Tan Sri Mohd Ali Mohd Rustam keluar parti itu.",setuju
3,Dewan Negara tidak lulus pindaan AUKU,7,Dewan Rakyat hari ini meluluskan rang undang-undang pindaan Akta Universiti dan Kolej Universiti (Auku) untuk membenarkan pelajar terlibat dalam kegiatan politik kepartian dalam kampus.,tidak setuju
3,Dewan Negara tidak lulus pindaan AUKU,8, Akta Universiti dan Kolej Universiti (Auku) membenarkan pelajar terlibat dalam kegiatan politik kepartian dalam kampus kelihatan berbahaya kerana takut mengganggu aktiviti social pelajar,berkaitan
3,Dewan Negara tidak lulus pindaan AUKU,9,Dewan Negara lulus pindaan Akta Kebankrapan,tidak berkaitan
3,Dewan Negara tidak lulus pindaan AUKU,10,Dewan Negara tolak RUU Antiberita Tidak Benar (Pemansuhan) 2018,tidak berkaitan
4,Dewan Negara lulus pindaan AUKU,11,Dewan Rakyat hari ini meluluskan rang undang-undang pindaan Akta Universiti dan Kolej Universiti (Auku) untuk membenarkan pelajar terlibat dalam kegiatan politik kepartian dalam kampus.,setuju
4,Dewan Negara lulus pindaan AUKU,12, Akta Universiti dan Kolej Universiti (Auku) membenarkan pelajar terlibat dalam kegiatan politik kepartian dalam kampus kelihatan berbahaya kerana takut mengganggu aktiviti social pelajar,berkaitan
4,Dewan Negara lulus pindaan AUKU,13,Dewan Negara lulus pindaan Akta Kebankrapan,tidak berkaitan
4,Dewan Negara lulus pindaan AUKU,14,Dewan Negara tolak RUU Antiberita Tidak Benar (Pemansuhan) 2018,tidak berkaitan
5,Ismail Sabri bukan Timbalan Presiden UMNO,15,Jawatan dalam UMNO perlu dipertandingkan,tidak berkaitan
5,Ismail Sabri bukan Timbalan Presiden UMNO,16,Ismail Sabri pikul tanggungjawab sebagai Timbalan Presiden UMNO,tidak setuju
5,Ismail Sabri bukan Timbalan Presiden UMNO,17,"Ku Li, KJ dan Zahid antara lima calon jawatan Presiden UMNO ...",tidak berkaitan
6,Ismail Sabri galas tugas Timbalan Presiden UMNO,18,Jawatan dalam UMNO perlu dipertandingkan,tidak berkaitan
6,Ismail Sabri galas tugas Timbalan Presiden UMNO,19,Ismail Sabri pikul tanggungjawab sebagai Timbalan Presiden UMNO,setuju
6,Ismail Sabri galas tugas Timbalan Presiden UMNO,20,"Ku Li, KJ dan Zahid antara lima calon jawatan Presiden UMNO ...",tidak berkaitan
7,"Benjy semakin sihat, tiada sakit Tibi",21,Keadaan Benjy semakin merosot dan kelihat menderita. Beliau dikatakan hampir positif sakit Tibi,tidak setuju
7,"Benjy semakin sihat, tiada sakit Tibi",22,Benjy dibebaskan dari tuduhan miliki syabu,tidak berkaitan
8,Benjy hampir positif sakit Tibi,23,Keadaan Benjy semakin merosot dan kelihat menderita. Beliau dikatakan hampir positif sakit Tibi,setuju
8,Benjy hampir positif sakit Tibi,24,Benjy dibebaskan dari tuduhan miliki syabu,tidak berkaitan
