penyataan id,penyataan,label
1,Ali Rustam keluar UMNO hari ini,palsu
2,Ali Rustam nafi keluar UMNO,benar
3,Dewan Negara tidak lulus pindaan AUKU,palsu
4,Dewan Negara lulus pindaan AUKU,benar
5,Ismail Sabri bukan Timbalan Presiden UMNO,palsu
6,Ismail Sabri galas tugas Timbalan Presiden UMNO,benar
7,"Benjy semakin sihat, tiada sakit Tibi",palsu
8,Benjy hampir positif sakit Tibi,benar
9,Honda tidak pecat kakitangan hina kematian Muhammad Adib,palsu
10,Honda pecat kakitangan hina kematian Muhammad Adib,benar
11,kes tetak kerani hingga mati adalah palsu,palsu
12,kes tetak kerani hingga mati kerana mengamuk dengan majikan,benar
13,Nama Sajat tak ada Muhammad,palsu
14,Nama Sajat ada Muhammad,benar
15,"Nur Sajat tidak didenda RM2,700",palsu
16,"Nur Sajat didenda RM2,700 gagal kemuka penyata GST",benar
17,Yeo Bee Yin tidak diiktiraf jurnal sains terkemuka dunia,palsu
18,Yeo Bee Yin diiktiraf jurnal sains terkemuka dunia,benar
19,najib tidak diikat jamin,palsu
20,najib diikat jamin,benar
21,kfc tidak halal,palsu
22,kfc halal,benar
23,vietnam kalah dalam piala aff suzuki 2018,palsu
24,vietnam menang dalam piala aff suzuki 2018,benar
25,malaysia menang dalam piala aff suzuki 2018,palsu
26,malaysia kalah dalam piala aff suzuki 2018,benar
27,adib masih hidup,palsu
28,adib meninggal dunia,benar
29,tun dr mahathir mati,palsu
30,tun dr mahathir hidup dan sihat,benar
31,najib mati,palsu
32,najib hidup,benar
33,himpunan icerd tidak wujud,palsu
34,himpunan icerd wujud dan meriah,benar
35,tun dr mahathir bukan perdana menteri ke-7,palsu
36,tun dr mahathir perdana menteri ke-7,benar
37,anwar tidak akan ganti mahathir,palsu
38,anwar bakal ganti mahathir,benar
39,cadburry diperbuat daripada babi,palsu
40,cadburry tidak diperbuat daripada babi,benar
41,sushiking haram dimakan,palsu
42,sushiking boleh dimakan,benar
43,sri serdang banjir tahun ini,palsu
44,sri serdang tidak banjir tahun ini,benar
45,nurul izzah tidak letak jawatan naib presiden pkr,palsu
46,nurul izzah letak jawatan naib presiden pkr,benar
47,johor berkata ada ancaman tsunami bulan ini,palsu
48,johor nafi ada ancaman tsunami bulan ini,benar
49,"viral ""muhyiddin letak jawatan"" adalah benar",palsu
50,"viral ""muhyiddin letak jawatan"" adalah palsu",benar
51,dewan rakyat tidak luluskan RUU mansuh akta anti berita tidak benar,palsu
52,dewan rakyat lulus RUU mansuh akta anti berita tidak benar,benar
53,pdrm tidak beri jaminan proses pilihan raya berjalan lancar,palsu
54,pdrm beri jaminan proses pilihan raya berjalan lancar,benar
55,malaysia kalah piala aff suzuki 2010,palsu
56,malaysia juara piala aff suzuki 2010,benar
57,pakatan harapan tewas pru 14,palsu
58,pakatan harapan menang pru 14,benar
59,bn menang pru 14,palsu
60,bn tewas pru 14,benar
61,Tiada PRK di Cameron Highlands Januari depan,palsu
62,PRK di Cameron Highlands Januari depan,benar
63,Pak Rawi tidak keluar UMNO,palsu
64,Pak Rawi keluar UMNO,benar
65,Hanis Zalikha sekeluarga tidak pergi umrah,palsu
66,Hanis Zalikha sekeluarga pergi umrah,benar
67,Hanis Zalikha sekeluarga tidak dapat pulang dari mengerjakan umrah,palsu
68,Hanis Zalikha sekeluarga selamat pulang dari mengerjakan umrah,benar
69,Maszlee minta guru jadikan sekolah medan dakwah,palsu
70,Maszlee nafi minta guru jadikan sekolah medan dakwah,benar
71,Kementerian Pertahanan ambil 75 Wataniah belia India yang tidak layak,palsu
72,Kementerian Pertahanan nafi ambil 75 Wataniah belia India yang tidak layak,benar
73,Pihak Pengurusan kanan Tabung Haji TH tidak direman 4 hari,palsu
74,Pihak Pengurusan kanan Tabung Haji TH dibebas selepas direman 4 hari,benar
75,Lompat parti bukan sebab Nurul Izzah lepas jawatan,palsu
76,Lompat parti antara sebab Nurul Izzah lepas jawatan,benar
77,"Pengarah Eksekutif Utusan Melayu (M) Bhd, Datuk Dr Ibrahim Yahya, tidak meletak jawatan daripada syarikat akhbar itu",palsu
78,"Pengarah Eksekutif Utusan Melayu (M) Bhd, Datuk Dr Ibrahim Yahya, meletak jawatan daripada syarikat akhbar itu",benar
79,Irmohizam tidak dilantik Pengarah Utusan Melayu,palsu
80,Irmohizam dilantik Pengarah Utusan Melayu,benar
81,Datuk Abd Aziz Sheikh Fadzir tidak letak jawatan Pengerusi Eksekutif Utusan Melayu,palsu
82,Datuk Abd Aziz Sheikh Fadzir letak jawatan Pengerusi Eksekutif Utusan Melayu,benar
83,Wan Ahmad Rudirman tidak dilantik CEO Terengganu Inc,palsu
84,Wan Ahmad Rudirman dilantik CEO Terengganu Inc,benar
85,Zainuddin Maidin tidak meninggal dunia,palsu
86,Zainuddin Maidin meninggal dunia,benar
87,Mohamad Hasan berperanan sebagai Naib Timbalan Pengerusi BN,palsu
88,Mohamad Hasan kini berperanan sebagai Pengerusi BN,benar
89,Khairy Jamaluddin Ketua Pemuda UMNO,palsu
90,Khairy Jamaluddin bekas Ketua Pemuda UMNO,benar
91,Syed Saddiq Syed Abdul Rahman bukan Ketua Angkatan Bersatu Anak Muda (Armada),palsu
92,Syed Saddiq Syed Abdul Rahman merupakan Ketua Angkatan Bersatu Anak Muda (Armada),benar
93,"Timbalan Perdana Menteri, P Ramasamy",palsu
94,"Timbalan Ketua Menteri II, P Ramasamy",benar
95,Artis Korea Diharam Buat Persembahan Di Malaysia Berkuatkuasa 2020,palsu
96,Artis Korea Diharam Buat Persembahan Di Malaysia Berkuatkuasa 2020 adalah palsu,benar
97,Sultan Selangor Dan Sultan Johor Hadir Ke Himpunan ICERD,palsu
98,Sultan Selangor Dan Sultan Johor Tidak Pernah Hadir Ke Himpunan ICERD,benar
99,straw minuman tidak diharamkan,palsu
100,straw minuman diharamkan,benar
101,pekerja asing masih dibenarkan bekerja di restoran mulai 2019,palsu
102,tiada pekerja asing di restoran mulai 2019,benar
103,Kementerian Pengangkutan setuju dengan keputusan berhubung kenaikan tambang bas,palsu
104,Kementerian Pengangkutan belum ada keputusan berhubung kenaikan tambang bas,benar
105,Nama Muhammad Adib tidak diabadikan di Tugu Peringatan Fallen Heroes,palsu
106,Nama Muhammad Adib kini diabadikan di Tugu Peringatan Fallen Heroes,benar
107,ADAM50 masih diterukan tahun depan,palsu
108,ADAM50 dihentikan akhir tahun ,benar
109,Tun Mahathir tidak bercadang untuk melancarkan Pelan Anti-Rasuah Nasional 31 Januari ini,palsu
110,Tun Mahathir lancar Pelan Anti-Rasuah Nasional 31 Januari ini,benar
111,Jho Low tidak pernah hadir dalam mesyuarat 1MDB,palsu
112,Jho Low hadir mesyuarat 1MDB,benar
113,Program perumahan rakyat termiskin (PPRT) di Kelantan diberhentikan,palsu
114,Program perumahan rakyat termiskin (PPRT) di Kelantan masih diteruskan,benar
115,Dewan Negara tidak meluluskan RUU Perbekalan 2019,palsu
116,Dewan Negara lulus RUU Perbekalan 2019,benar
